[Trent Alexander-Arnold] | [Liverpool] | [2019/2020] | Goals: 4 | Assists: 15
[Trent Alexander-Arnold] | [Liverpool] | [2018/2019] | Goals: 1 | Assists: 15
[Trent Alexander-Arnold] | [Liverpool] | [2017/2018] | Goals: 3 | Assists: 2
[Trent Alexander-Arnold] | [Liverpool] | [2016/2017] | Goals: 0 | Assists: 1
[Joseph Gomez] | [Liverpool] | [2023/2024] | Goals: 0 | Assists: 3
[Joseph Gomez] | [Liverpool] | [2022/2023] | Goals: 0 | Assists: 1
[Joseph Gomez] | [Liverpool] | [2021/2022] | Goals: 0 | Assists: 1
[Joseph Gomez] | [Liverpool] | [2020/2021] | Goals: 0 | Assists: 1
[Joseph Gomez] | [Liverpool] | [2019/2020] | Goals: 0 | Assists: 0
[Joseph Gomez] | [Liverpool] | [2018/2019] | Goals: 0 | Assists: 0
[Joseph Gomez] | [Liverpool] | [2017/2018] | Goals: 0 | Assists: 2
[Joseph Gomez] | [Liverpool] | [2016/2017] | Goals: 0 | Assists: 0
[Harry Maguire] | [Man United] | [2023/2024] | Goals: 4 | Assists: 2
